PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.222,1.04,0.66,1.27,2,2.28,2.47,2.15,2.77,1.92
fig|645463.3.peg.223,0.4,0.66,0.2,1.13,1,0.75,0.91,0.9,1.16
fig|645463.3.peg.224,0.59,0.49,0.65,1.53,1.31,1.35,1.34,2.15,2.51
fig|645463.3.peg.225,1.63,1.98,2.17,7.74,7.42,7.93,7.61,8.65,8.34
fig|645463.3.peg.226,6.17,4.62,6.71,11.55,13.13,12.78,9.74,12.76,15.27
fig|645463.3.peg.227,3.64,3.18,3.67,6.91,6.25,7.46,5.77,7.08,8.75
fig|645463.3.peg.228,6.74,8.38,8.77,15.78,17.21,15.4,7.44,9.05,8.74
fig|645463.3.peg.229,156.56,169.61,182.53,564.1,568.22,634.77,393.98,438.56,464.45
fig|645463.3.peg.230,129.79,136.12,158.83,520.65,505.52,597.54,325.68,358.05,378.64
fig|645463.3.peg.231,132.06,128.61,155.61,621.41,579.19,651.22,317.84,321.05,331.93
fig|645463.3.peg.232,148.47,131.58,171.62,750.89,674.32,762.6,327.39,321.37,328.08
fig|645463.3.peg.233,98.54,100.45,118.2,630.13,596.82,681.42,196.85,198.25,206.32
fig|645463.3.peg.234,130.4,120.44,155.8,885.94,833.11,964.62,180.94,191.8,207.34
fig|645463.3.peg.235,195.54,172.24,225.69,1220.13,1138.45,1290.54,247.53,255.47,275.21
fig|645463.3.peg.236,420.15,379.72,468.59,2245.28,2164.24,2445.53,427.56,451.25,480.15
fig|645463.3.peg.237,11.45,14.85,13.94,18.63,19.5,20.9,14.4,16.53,17.22
fig|645463.3.peg.238,11.93,12.65,14.07,18.02,17.92,19.71,16.63,16.16,15.81
fig|645463.3.peg.239,12.91,16.65,16.01,20.98,22.09,21.97,18.5,19.54,18.41
fig|645463.3.peg.240,18.69,21.54,23.09,28.1,31.57,30.41,21.45,24.65,23.25
fig|645463.3.peg.241,28.31,33.52,31.9,30.44,28.51,28.05,21.23,23.95,23.89
fig|645463.3.peg.242,28.93,29.54,31.9,25,28.97,29.01,23.69,24.41,24.54
fig|645463.3.peg.244,3.47,2.42,3.58,3.81,2.74,3.64,4.76,4.32,4.08
fig|645463.3.peg.245,6.35,8.29,7.89,7.13,8.1,9.36,7.57,10.54,9.11
fig|645463.3.peg.246,16.95,17.22,19.96,15.29,16.8,18.71,16.76,20.07,20.11
