reaction	linear_coefficient
rxn00527_c	[0.04473510208689347, 0.045989152624003236, 0.0439451467417291]
rxn01215_c	[0.0011826466317566902, 0.0009205492647099066, 0.0014537366386074971]
rxn03537_c	[0.05622230411817865, 0.05677523164237592, 0.04722047161037074]
rxn10279_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn04270_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn01654_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10276_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn11838_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn01917_c	[1.0, 1.0, 1.0]
rxn01951_c	[0.05441369098638105, 0.045649282770623426, 0.04722047161037074]
rxn10271_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn10282_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn01509_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01548_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01145_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn02548_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05202_c	[1.0, 0.5310874193424805, 0.5291794125190552]
rxn02115_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
